RT,Stimuli,Response,Condition,Correct,Age,L1,ID,Fold,Time_taken,Sex,Language,Verb,Noun,Frequency,Score,Item,Accuracy,outliers,mAccuracy,mRT,iAccuracy,iRT
919,cultivate the soil,y,Compositional,y,53,English,P002,1,500.0,Female,English,cultivate,soil,3389,6.9,cultivate soil,1,,0.845679012345679,895.3086419753087,0.9333333333333332,1086.2
759,spew lava,n,Compositional,y,53,English,P002,1,500.0,Female,English,spew,lava,1017,8.7,spew lava,0,,0.845679012345679,895.3086419753087,0.6290322580645161,1125.3225806451612
1027,carry a risk,n,Collocation,y,53,English,P002,1,500.0,Female,English,carry,risk,44571,7.5,carry risk,0,,0.845679012345679,895.3086419753087,0.9166666666666666,1009.25
1133,sow confusion,y,Collocation,y,53,English,P002,1,500.0,Female,English,sow,confusion,3504,7.7,sow confusion,1,,0.845679012345679,895.3086419753087,0.7580645161290323,1211.467741935484
957,spread terror,y,Collocation,y,53,English,P002,1,500.0,Female,English,spread,terror,3270,6.0,spread terror,1,,0.845679012345679,895.3086419753087,0.967741935483871,986.016129032258
1005,run a country,y,Collocation,y,53,English,P002,1,500.0,Female,English,run,country,42155,6.7,run country,1,,0.845679012345679,895.3086419753087,1.0,921.3870967741937
634,capture one's heart,y,Idiom,y,53,English,P002,1,500.0,Female,English,capture,heart,23582,7.5,capture heart,1,,0.845679012345679,895.3086419753087,1.0,973.048387096774
785,hurt the eyes,n,Idiom,y,53,English,P002,1,500.0,Female,English,hurt,eye,8773,5.9,hurt eye,0,,0.845679012345679,895.3086419753087,0.9193548387096774,1098.032258064516
683,abandon ship,y,Idiom,y,53,English,P002,1,500.0,Female,English,abandon,ship,16629,7.9,abandon ship,1,,0.845679012345679,895.3086419753087,0.9516129032258064,871.6129032258065
812,spin one's wheels,y,Idiom,y,53,English,P002,1,500.0,Female,English,spin,wheel,25453,9.5,spin wheel,1,,0.845679012345679,895.3086419753087,0.8870967741935484,1272.6129032258063
685,navigate a challenge,y,Collocation,y,53,English,P002,1,500.0,Female,English,navigate,challenge,12323,6.7,navigate challenge,1,,0.845679012345679,895.3086419753087,1.0,1147.8360655737704
819,pay the debt,y,Compositional,y,53,English,P002,1,500.0,Female,English,pay,debt,84234,8.3,pay debt,1,,0.845679012345679,895.3086419753087,1.0,865.2131147540983
1019,dangle a carrot,y,Idiom,y,53,English,P002,1,500.0,Female,English,dangle,carrot,2648,9.5,dangle carrot,1,,0.845679012345679,895.3086419753087,0.935483870967742,1088.1774193548388
700,stimulate a cell,y,Compositional,y,53,English,P002,1,500.0,Female,English,stimulate,cell,11511,7.4,stimulate cell,1,,0.845679012345679,895.3086419753087,0.7213114754098361,1297.5245901639344
765,forge a signature,y,Collocation,y,53,English,P002,1,500.0,Female,English,forge,signature,6865,8.0,forge signature,1,,0.845679012345679,895.3086419753087,0.9830508474576272,1063.8305084745762
2149,dent one's confidence,y,Collocation,y,53,English,P002,1,500.0,Female,English,dent,confidence,1228,5.4,dent confidence,1,,0.845679012345679,895.3086419753087,0.935483870967742,1285.516129032258
760,flood the market,y,Idiom,y,53,English,P002,1,500.0,Female,English,flood,market,24774,9.0,flood market,1,,0.845679012345679,895.3086419753087,0.9032258064516128,946.3870967741937
780,bend the rule,n,Collocation,y,53,English,P002,1,500.0,Female,English,bend,rule,14612,7.1,bend rule,0,,0.845679012345679,895.3086419753087,0.9838709677419356,928.1774193548388
1150,strain one's ears,y,Idiom,y,53,English,P002,1,500.0,Female,English,strain,ear,2727,7.2,strain ear,1,,0.845679012345679,895.3086419753087,0.918032786885246,1293.7540983606557
1124,taste success,n,Collocation,y,53,English,P002,1,500.0,Female,English,taste,success,4956,5.9,taste success,0,,0.845679012345679,895.3086419753087,0.9836065573770492,903.016393442623
1082,catch a fish,y,Compositional,y,53,English,P002,1,500.0,Female,English,catch,fish,111494,9.3,catch fish,1,,0.845679012345679,895.3086419753087,0.9836065573770492,836.1475409836065
3013,fight the enemy,y,Compositional,y,53,English,P002,1,500.0,Female,English,fight,enemy,23869,8.0,fight enemy,1,,0.845679012345679,895.3086419753087,1.0,975.1774193548388
622,close the gap,y,Idiom,y,53,English,P002,1,500.0,Female,English,close,gap,134164,10.0,close gap,1,,0.845679012345679,895.3086419753087,1.0,950.3225806451612
1120,share food,y,Compositional,y,53,English,P002,1,500.0,Female,English,share,food,17706,5.8,share food,1,,0.845679012345679,895.3086419753087,1.0,890.2459016393443
714,unleash hell,y,Idiom,y,53,English,P002,1,500.0,Female,English,unleash,hell,2366,6.8,unleash hell,1,,0.845679012345679,895.3086419753087,0.967741935483871,928.983870967742
784,unlock potential,y,Collocation,y,53,English,P002,1,500.0,Female,English,unlock,potential,27122,8.5,unlock potential,1,,0.845679012345679,895.3086419753087,0.9838709677419356,952.6774193548388
691,lift a hand,y,Compositional,y,53,English,P002,1,500.0,Female,English,lift,hand,29716,7.4,lift hand,1,,0.845679012345679,895.3086419753087,0.935483870967742,988.951612903226
789,drop a line,y,Idiom,y,53,English,P002,1,500.0,Female,English,drop,line,13304,5.9,drop line,1,,0.845679012345679,895.3086419753087,0.9344262295081968,949.0491803278688
1160,smear an opponent,n,Idiom,y,53,English,P002,1,500.0,Female,English,smear,opponent,933,5.6,smear opponent,0,,0.845679012345679,895.3086419753087,0.6129032258064516,1304.854838709677
726,face the facts,y,Collocation,y,53,English,P002,1,500.0,Female,English,face,fact,24588,6.6,face fact,1,,0.845679012345679,895.3086419753087,1.0,936.1774193548388
666,twist an ankle,y,Compositional,y,53,English,P002,1,500.0,Female,English,twist,ankle,5585,9.1,twist ankle,1,,0.845679012345679,895.3086419753087,0.9838709677419356,926.6612903225806
862,distort an image,n,Compositional,y,53,English,P002,1,500.0,Female,English,distort,image,4773,5.1,distort image,0,,0.845679012345679,895.3086419753087,0.967741935483871,1029.0806451612902
701,kick the habit,y,Collocation,y,53,English,P002,1,500.0,Female,English,kick,habit,10490,8.1,kick habit,1,,0.845679012345679,895.3086419753087,0.9838709677419356,937.2741935483872
680,grasp one's hand,y,Compositional,y,53,English,P002,1,500.0,Female,English,grasp,hand,7746,5.7,grasp hand,1,,0.845679012345679,895.3086419753087,0.9344262295081968,1083.770491803279
841,shift the burden,y,Idiom,y,53,English,P002,1,500.0,Female,English,shift,burden,14511,8.2,shift burden,1,,0.845679012345679,895.3086419753087,0.9838709677419356,1041.3225806451612
1097,crash a wedding,y,Collocation,y,53,English,P002,1,500.0,Female,English,crash,wedding,1110,6.2,crash wedding,1,,0.845679012345679,895.3086419753087,1.0,945.1290322580644
683,pierce the veil,n,Idiom,y,53,English,P002,1,500.0,Female,English,pierce,veil,4674,9.5,pierce veil,0,,0.845679012345679,895.3086419753087,0.6229508196721312,1321.1475409836066
714,build a wall,y,Idiom,y,53,English,P002,1,500.0,Female,English,build,wall,77579,7.5,build wall,1,,0.845679012345679,895.3086419753087,1.0,776.9508196721312
789,beat the odds,y,Collocation,y,53,English,P002,1,500.0,Female,English,beat,odd,12754,7.7,beat odd,1,,0.845679012345679,895.3086419753087,0.967741935483871,842.3709677419355
1279,unearth treasure,n,Idiom,y,53,English,P002,1,500.0,Female,English,unearth,treasure,1465,7.1,unearth treasure,0,,0.845679012345679,895.3086419753087,0.9032258064516128,1036.2096774193549
1071,level the ground,y,Compositional,y,53,English,P002,1,500.0,Female,English,level,ground,2181,5.3,level ground,1,,0.845679012345679,895.3086419753087,0.935483870967742,961.1612903225806
1140,soften one's tone,y,Collocation,y,53,English,P002,1,500.0,Female,English,soften,tone,1969,6.3,soften tone,1,,0.845679012345679,895.3086419753087,0.967741935483871,1106.1290322580646
733,blow air,n,Compositional,y,53,English,P002,1,500.0,Female,English,blow,air,19266,8.4,blow air,0,,0.845679012345679,895.3086419753087,0.95,878.7333333333333
792,drain the oil,n,Compositional,y,53,English,P002,1,500.0,Female,English,drain,oil,6015,6.9,drain oil,0,,0.845679012345679,895.3086419753087,0.8225806451612904,1049.967741935484
807,raise a child,y,Collocation,y,53,English,P002,1,500.0,Female,English,raise,child,168326,8.7,raise child,1,,0.845679012345679,895.3086419753087,1.0,759.9354838709677
693,spill the beans,y,Idiom,y,53,English,P002,1,500.0,Female,English,spill,bean,18162,10.4,spill bean,1,,0.845679012345679,895.3086419753087,1.0,768.3870967741935
651,lock horns,n,Idiom,y,53,English,P002,1,500.0,Female,English,lock,horn,10804,8.4,lock horn,0,,0.845679012345679,895.3086419753087,0.7903225806451613,1001.0967741935484
805,stifle dissent,n,Collocation,y,53,English,P002,1,500.0,Female,English,stifle,dissent,2974,9.1,stifle dissent,0,,0.845679012345679,895.3086419753087,0.5737704918032787,1170.1475409836066
1110,shatter the record,y,Idiom,y,53,English,P002,1,500.0,Female,English,shatter,record,9028,6.3,shatter record,1,,0.845679012345679,895.3086419753087,0.918032786885246,1066.72131147541
1313,scrape the skin,y,Compositional,y,53,English,P002,1,500.0,Female,English,scrape,skin,1675,5.4,scrape skin,1,,0.845679012345679,895.3086419753087,0.9193548387096774,1072.983870967742
806,enter the market,n,Idiom,y,53,English,P002,1,500.0,Female,English,enter,market,122635,8.9,enter market,0,,0.845679012345679,895.3086419753087,0.9672131147540984,871.4918032786885
739,pick a winner,y,Compositional,y,53,English,P002,1,500.0,Female,English,pick,winner,25931,8.3,pick winner,1,,0.845679012345679,895.3086419753087,1.0,827.2950819672132
706,sweeten the deal,y,Collocation,y,53,English,P002,1,500.0,Female,English,sweeten,deal,8402,6.5,sweeten deal,1,,0.845679012345679,895.3086419753087,0.9516129032258064,952.1290322580644
1102,weave a story,y,Collocation,y,53,English,P002,1,500.0,Female,English,weave,story,15961,6.1,weave story,1,,0.845679012345679,895.3086419753087,0.7903225806451613,992.8709677419356
662,ignite a fire,y,Idiom,y,53,English,P002,1,500.0,Female,English,ignite,fire,9306,7.5,ignite fire,1,,0.845679012345679,895.3086419753087,1.0,834.1935483870968
700,strike gold,n,Idiom,y,53,English,P002,1,500.0,Female,English,strike,gold,11563,7.8,strike gold,0,,0.845679012345679,895.3086419753087,0.9666666666666668,840.7
1028,skip breakfast,y,Collocation,y,53,English,P002,1,500.0,Female,English,skip,breakfast,8437,8.2,skip breakfast,1,,0.845679012345679,895.3086419753087,1.0,803.2459016393443
1050,inflate one's ego,y,Collocation,y,53,English,P002,1,500.0,Female,English,inflate,ego,2090,8.0,inflate ego,1,,0.845679012345679,895.3086419753087,1.0,1020.9016393442624
1673,slash one's throat,n,Compositional,y,53,English,P002,1,500.0,Female,English,slash,throat,2869,8.1,slash throat,0,,0.845679012345679,895.3086419753087,0.9666666666666668,1049.0833333333333
712,spark a flame,y,Compositional,y,53,English,P002,1,500.0,Female,English,spark,flame,1100,5.7,spark flame,1,,0.845679012345679,895.3086419753087,0.9193548387096774,943.741935483871
759,fan one's face,n,Compositional,y,53,English,P002,1,500.0,Female,English,fan,face,681,3.5,fan face,0,,0.845679012345679,895.3086419753087,0.8387096774193549,1184.6290322580646
687,smell the roses,y,Idiom,y,53,English,P002,1,500.0,Female,English,smell,rose,7425,9.4,smell rose,1,,0.845679012345679,895.3086419753087,0.9672131147540984,843.1147540983607
798,cast doubt,y,Collocation,y,53,English,P002,1,500.0,Female,English,cast,doubt,56812,9.6,cast doubt,1,,0.845679012345679,895.3086419753087,0.9516129032258064,847.6451612903226
2306,stir a mixture,y,Compositional,y,53,English,P002,1,500.0,Female,English,stir,mixture,9045,8.7,stir mixture,1,,0.845679012345679,895.3086419753087,0.8360655737704918,1062.622950819672
1137,erase history,y,Collocation,y,53,English,P002,1,500.0,Female,English,erase,history,5499,5.8,erase history,1,,0.845679012345679,895.3086419753087,0.9838709677419356,877.241935483871
1168,throw a rock,y,Compositional,y,53,English,P002,1,500.0,Female,English,throw,rock,33109,8.0,throw rock,1,,0.845679012345679,895.3086419753087,0.9516129032258064,912.3548387096774
813,battle one's demons,y,Idiom,y,53,English,P002,1,500.0,Female,English,battle,demon,4244,8.0,battle demon,1,,0.845679012345679,895.3086419753087,0.9032258064516128,1087.5
590,hold hands,y,Compositional,y,53,English,P002,1,500.0,Female,English,hold,hand,168395,8.4,hold hand,1,,0.845679012345679,895.3086419753087,1.0,730.8709677419355
919,fuel one's passion,y,Collocation,y,53,English,P002,1,500.0,Female,English,fuel,passion,4510,7.0,fuel passion,1,,0.845679012345679,895.3086419753087,0.9672131147540984,997.0
845,chase a ball,y,Compositional,y,53,English,P002,1,500.0,Female,English,chase,ball,7917,6.8,chase ball,1,,0.845679012345679,895.3086419753087,0.9672131147540984,1004.032786885246
1679,cross a street,y,Compositional,y,53,English,P002,1,500.0,Female,English,cross,street,45592,9.0,cross street,1,,0.845679012345679,895.3086419753087,0.9838709677419356,967.483870967742
589,cover ground,y,Idiom,y,53,English,P002,1,500.0,Female,English,cover,ground,43449,7.4,cover ground,1,,0.845679012345679,895.3086419753087,0.967741935483871,913.5645161290324
681,cut corners,y,Idiom,y,53,English,P002,1,500.0,Female,English,cut,corner,41219,8.4,cut corner,1,,0.845679012345679,895.3086419753087,0.9838709677419356,859.3064516129032
824,float one's boat,y,Idiom,y,53,English,P002,1,500.0,Female,English,float,boat,12267,8.4,float boat,1,,0.845679012345679,895.3086419753087,0.967741935483871,1002.7096774193548
596,push the button,y,Idiom,y,53,English,P002,1,500.0,Female,English,push,button,90119,9.6,push button,1,,0.845679012345679,895.3086419753087,0.9838709677419356,764.9516129032259
1843,strain one's ears,y,Idiom,y,55,English,P004,1,343.0,Female,English,strain,ear,2727,7.2,strain ear,1,,0.9573170731707316,851.3780487804878,0.918032786885246,1293.7540983606557
1711,spew lava,y,Compositional,y,55,English,P004,1,343.0,Female,English,spew,lava,1017,8.7,spew lava,1,,0.9573170731707316,851.3780487804878,0.6290322580645161,1125.3225806451612
747,flood the market,y,Idiom,y,55,English,P004,1,343.0,Female,English,flood,market,24774,9.0,flood market,1,,0.9573170731707316,851.3780487804878,0.9032258064516128,946.3870967741937
946,grasp one's hand,y,Compositional,y,55,English,P004,1,343.0,Female,English,grasp,hand,7746,5.7,grasp hand,1,,0.9573170731707316,851.3780487804878,0.9344262295081968,1083.770491803279
837,shift the burden,y,Idiom,y,55,English,P004,1,343.0,Female,English,shift,burden,14511,8.2,shift burden,1,,0.9573170731707316,851.3780487804878,0.9838709677419356,1041.3225806451612
1393,smear an opponent,y,Idiom,y,55,English,P004,1,343.0,Female,English,smear,opponent,933,5.6,smear opponent,1,,0.9573170731707316,851.3780487804878,0.6129032258064516,1304.854838709677
706,lift a hand,y,Compositional,y,55,English,P004,1,343.0,Female,English,lift,hand,29716,7.4,lift hand,1,,0.9573170731707316,851.3780487804878,0.935483870967742,988.951612903226
768,sow confusion,y,Collocation,y,55,English,P004,1,343.0,Female,English,sow,confusion,3504,7.7,sow confusion,1,,0.9573170731707316,851.3780487804878,0.7580645161290323,1211.467741935484
793,hurt the eyes,y,Idiom,y,55,English,P004,1,343.0,Female,English,hurt,eye,8773,5.9,hurt eye,1,,0.9573170731707316,851.3780487804878,0.9193548387096774,1098.032258064516
725,navigate a challenge,y,Collocation,y,55,English,P004,1,343.0,Female,English,navigate,challenge,12323,6.7,navigate challenge,1,,0.9573170731707316,851.3780487804878,1.0,1147.8360655737704
873,crash a wedding,y,Collocation,y,55,English,P004,1,343.0,Female,English,crash,wedding,1110,6.2,crash wedding,1,,0.9573170731707316,851.3780487804878,1.0,945.1290322580644
748,share food,y,Compositional,y,55,English,P004,1,343.0,Female,English,share,food,17706,5.8,share food,1,,0.9573170731707316,851.3780487804878,1.0,890.2459016393443
1800,pierce the veil,y,Idiom,y,55,English,P004,1,343.0,Female,English,pierce,veil,4674,9.5,pierce veil,1,,0.9573170731707316,851.3780487804878,0.6229508196721312,1321.1475409836066
699,face the facts,y,Collocation,y,55,English,P004,1,343.0,Female,English,face,fact,24588,6.6,face fact,1,,0.9573170731707316,851.3780487804878,1.0,936.1774193548388
828,forge a signature,y,Collocation,y,55,English,P004,1,343.0,Female,English,forge,signature,6865,8.0,forge signature,1,,0.9573170731707316,851.3780487804878,0.9830508474576272,1063.8305084745762
723,unlock potential,y,Collocation,y,55,English,P004,1,343.0,Female,English,unlock,potential,27122,8.5,unlock potential,1,,0.9573170731707316,851.3780487804878,0.9838709677419356,952.6774193548388
1040,dent one's confidence,y,Collocation,y,55,English,P004,1,343.0,Female,English,dent,confidence,1228,5.4,dent confidence,1,,0.9573170731707316,851.3780487804878,0.935483870967742,1285.516129032258
743,abandon ship,y,Idiom,y,55,English,P004,1,343.0,Female,English,abandon,ship,16629,7.9,abandon ship,1,,0.9573170731707316,851.3780487804878,0.9516129032258064,871.6129032258065
737,spread terror,y,Collocation,y,55,English,P004,1,343.0,Female,English,spread,terror,3270,6.0,spread terror,1,,0.9573170731707316,851.3780487804878,0.967741935483871,986.016129032258
758,kick the habit,y,Collocation,y,55,English,P004,1,343.0,Female,English,kick,habit,10490,8.1,kick habit,1,,0.9573170731707316,851.3780487804878,0.9838709677419356,937.2741935483872
688,fight the enemy,y,Compositional,y,55,English,P004,1,343.0,Female,English,fight,enemy,23869,8.0,fight enemy,1,,0.9573170731707316,851.3780487804878,1.0,975.1774193548388
1172,dangle a carrot,y,Idiom,y,55,English,P004,1,343.0,Female,English,dangle,carrot,2648,9.5,dangle carrot,1,,0.9573170731707316,851.3780487804878,0.935483870967742,1088.1774193548388
772,spin one's wheels,y,Idiom,y,55,English,P004,1,343.0,Female,English,spin,wheel,25453,9.5,spin wheel,1,,0.9573170731707316,851.3780487804878,0.8870967741935484,1272.6129032258063
800,run a country,y,Collocation,y,55,English,P004,1,343.0,Female,English,run,country,42155,6.7,run country,1,,0.9573170731707316,851.3780487804878,1.0,921.3870967741937
775,pay the debt,y,Compositional,y,55,English,P004,1,343.0,Female,English,pay,debt,84234,8.3,pay debt,1,,0.9573170731707316,851.3780487804878,1.0,865.2131147540983
