set,verb,noun,type,item,correct_ajt_response,verb_lit,noun_lit,vbg,noun_pl,verb_past,det_noun,fold,noun_freq,verb_freq,collocation_freq,noun_concreteness,verb_concreteness,noun_synset_len,verb_synset_len,logDice,avg_v_sim_to_item,avg_v_sim_to_item_10nouns,avg_v_sim_to_item_50nouns,noun_conc_sd,percent_known,snd3,snd10,snd25,snd50
46,abandon,project,collocation,abandon project,y,0,1,abandoning,projects,abandoned,a project,1,22844303,1749125,18018,3.62,2.54,12,5,6.46,0.9124183654785156,0.8056573271751404,0.7878472208976746,1.42,1.0,170.17,284.97,344.87,374.52
46,abandon,building,productive,abandon building,y,1,1,abandoning,buildings,abandoned,a building,2,11668495,1749125,15935,4.64,2.54,10,5,7.17,0.9156718850135804,0.8341591358184814,0.8069016933441162,0.91,1.0,193.2,298.76,338.74,361.38
2,battle,disease,collocation,battle disease,y,0,1,battling,diseases,battled,a disease,3,7034079,712036,4809,3.45,4.0,0,1,6.46,0.8909168243408203,0.8181159496307373,0.7949886322021484,1.33,1.0,102.9,195.33,244.79,273.82
2,battle,enemy,productive,battle enemy,y,1,1,battling,enemies,battled,an enemy,4,3712956,712036,3316,2.83,4.0,0,1,6.38,0.8881509304046631,0.7179211378097534,0.7938255667686462,1.36,1.0,148.22,227.71,259.5,276.9
3,beat,odds,collocation,beat odds,y,0,1,beating,odds,beat,an odds,5,2376,3571105,12574,2.24,3.97,0,23,7.7,0.8787700533866882,0.7622771859169006,0.7152610421180725,1.46,1.0,135.59,194.58,215.04,223.92
3,beat,egg,productive,beat egg,y,1,1,beating,eggs,beat,an egg,6,2460139,3571105,12025,4.97,3.97,2,23,7.28,0.8816090822219849,0.7521581649780273,0.7466472387313843,0.18,1.0,124.85,178.59,202.35,217.95
4,bend,rule,collocation,bend rule,y,0,1,bending,rules,bent,a rule,7,9645756,969091,14612,2.57,3.88,7,6,7.08,0.8905107378959656,0.7325798869132996,0.7090437412261963,1.37,1.0,177.48,280.06,326.59,358.7
4,bend,leg,productive,bend leg,y,1,1,bending,legs,bent,a leg,8,3573038,969091,7787,4.83,3.88,0,6,7.5,0.8880210518836975,0.8572521209716797,0.8232344388961792,0.59,1.0,134.48,212.33,256.38,294.07
6,break,silence,collocation,break silence,y,0,1,breaking,silence,broke,a silence,9,1165808,9717891,53167,3.33,3.71,2,59,8.54,0.873587965965271,0.7690776586532593,0.7648242115974426,1.64,1.0,107.25,151.56,168.73,179.07
6,break,bone,productive,break bone,y,1,1,breaking,bones,broke,a bone,10,2128140,9717891,66577,4.9,3.71,2,59,8.8,0.8775160908699036,0.7864534854888916,0.7891836762428284,0.56,1.0,113.62,182.3,215.25,233.86
