Item,verb,noun,iRT_AJT,iAccuracy_AJT,collocation_freq,logDice,Condition
capture heart,capture,heart,973.048387096774,1.0,23582,7.5,Idiom
hurt eye,hurt,eye,1098.032258064516,0.9193548387096774,8773,5.9,Idiom
abandon ship,abandon,ship,871.6129032258065,0.9516129032258064,16629,7.9,Idiom
spin wheel,spin,wheel,1272.6129032258063,0.8870967741935484,25453,9.5,Idiom
flood market,flood,market,946.3870967741937,0.9032258064516128,24774,9.0,Idiom
strain ear,strain,ear,1293.7540983606557,0.918032786885246,2727,7.2,Idiom
close gap,close,gap,950.3225806451612,1.0,134164,10.0,Idiom
unleash hell,unleash,hell,928.983870967742,0.967741935483871,2366,6.8,Idiom
drop line,drop,line,949.0491803278688,0.9344262295081968,13304,5.9,Idiom
smear opponent,smear,opponent,1304.854838709677,0.6129032258064516,933,5.6,Idiom
shift burden,shift,burden,1041.3225806451612,0.9838709677419356,14511,8.2,Idiom
pierce veil,pierce,veil,1321.1475409836066,0.6229508196721312,4674,9.5,Idiom
build wall,build,wall,776.9508196721312,1.0,77579,7.5,Idiom
unearth treasure,unearth,treasure,1036.2096774193549,0.9032258064516128,1465,7.1,Idiom
spill bean,spill,bean,768.3870967741935,1.0,18162,10.4,Idiom
lock horn,lock,horn,1001.0967741935484,0.7903225806451613,10804,8.4,Idiom
shatter record,shatter,record,1066.72131147541,0.918032786885246,9028,6.3,Idiom
enter market,enter,market,871.4918032786885,0.9672131147540984,122635,8.9,Idiom
ignite fire,ignite,fire,834.1935483870968,1.0,9306,7.5,Idiom
strike gold,strike,gold,840.7,0.9666666666666668,11563,7.8,Idiom
smell rose,smell,rose,843.1147540983607,0.9672131147540984,7425,9.4,Idiom
battle demon,battle,demon,1087.5,0.9032258064516128,4244,8.0,Idiom
cover ground,cover,ground,913.5645161290324,0.967741935483871,43449,7.4,Idiom
cut corner,cut,corner,859.3064516129032,0.9838709677419356,41219,8.4,Idiom
float boat,float,boat,1002.7096774193548,0.967741935483871,12267,8.4,Idiom
push button,push,button,764.9516129032259,0.9838709677419356,90119,9.6,Idiom
fuel fire,fuel,fire,902.1935483870968,0.967741935483871,9418,7.3,Idiom
beat drum,beat,drum,1104.8524590163934,1.0,15198,8.0,Idiom
soften blow,soften,blow,930.3333333333334,1.0,10244,9.4,Idiom
weave web,weave,web,1037.4193548387098,0.9193548387096774,6389,7.9,Idiom
stifle voice,stifle,voice,1261.65,0.9333333333333332,1886,4.9,Idiom
crack case,crack,case,1023.483870967742,0.9838709677419356,7313,5.0,Idiom
sweeten pot,sweeten,pot,1134.949152542373,0.847457627118644,3461,8.0,Idiom
erase trace,erase,trace,1442.9827586206898,0.8103448275862069,2860,7.5,Idiom
inflate bubble,inflate,bubble,1223.8196721311476,0.8688524590163934,2333,7.8,Idiom
cast net,cast,net,942.8064516129032,0.967741935483871,17940,8.7,Idiom
navigate world,navigate,world,946.344262295082,1.0,18410,6.9,Idiom
forge link,forge,link,1035.9180327868853,0.8360655737704918,9616,6.3,Idiom
unlock door,unlock,door,819.2950819672132,1.0,46638,9.0,Idiom
dent reputation,dent,reputation,1250.9032258064517,0.8870967741935484,413,4.0,Idiom
carry weight,carry,weight,964.9833333333332,0.9666666666666668,72738,8.6,Idiom
taste blood,taste,blood,829.6935483870968,0.9838709677419356,5479,7.0,Idiom
face obstacle,face,obstacle,1076.0967741935483,0.967741935483871,25112,7.3,Idiom
spread seed,spread,seed,1205.1935483870968,0.8225806451612904,7216,6.7,Idiom
sow seed,sow,seed,870.4354838709677,0.967741935483871,57012,10.9,Idiom
kick bucket,kick,bucket,836.4677419354839,0.9516129032258064,6257,8.2,Idiom
bend knee,bend,knee,855.1147540983607,0.9672131147540984,27701,10.5,Idiom
crash computer,crash,computer,1024.8870967741937,0.9838709677419356,2527,5.8,Idiom
spark fire,spark,fire,1042.483870967742,0.9838709677419356,5462,6.5,Idiom
pick brain,pick,brain,930.2786885245902,0.9344262295081968,13281,7.5,Idiom
slash bill,slash,bill,1242.327868852459,0.8524590163934426,1279,4.4,Idiom
scrape bottom,scrape,bottom,1110.6440677966102,0.9830508474576272,5734,8.7,Idiom
level field,level,field,1072.516129032258,0.967741935483871,4459,5.9,Idiom
hold key,hold,key,997.6935483870968,0.9516129032258064,59256,7.2,Idiom
stir pot,stir,pot,929.548387096774,0.9516129032258064,13006,9.4,Idiom
throw money,throw,money,1068.0967741935483,0.967741935483871,43659,7.3,Idiom
chase tail,chase,tail,1100.3225806451612,0.9516129032258064,7173,8.5,Idiom
spew venom,spew,venom,1068.274193548387,0.7258064516129032,2067,9.4,Idiom
pay price,pay,price,777.7741935483871,1.0,278026,9.7,Idiom
lift finger,lift,finger,823.4516129032259,1.0,20457,8.2,Idiom
fight man,fight,man,962.688524590164,0.9836065573770492,17711,5.9,Idiom
catch eye,catch,eye,858.688524590164,0.9836065573770492,163400,9.7,Idiom
share bed,share,bed,873.3225806451613,1.0,15565,6.0,Idiom
stimulate brain,stimulate,brain,959.3709677419356,1.0,6316,7.3,Idiom
twist arm,twist,arm,917.1451612903226,0.9838709677419356,11204,7.6,Idiom
