item,verb,noun,condition,iRT_AJT,verb_delta_cos,verb_pool_size,noun_delta_cos,noun_pool_size,noun_x_source,noun_concreteness,snd3,snd10,snd25,snd50,logDice,collocation_freq,VerbFreq,NounFreq,verb_synset_len
abandon projects,abandon,project,Collocation,1182.30434782609,0.9633874893188475,99.0,0.9701105356216432,90.0,,3.62,170.17,284.97,344.87,374.52,6.46,18018,430978,214649,5
battle diseases,battle,disease,Collocation,1086.21739130435,0.9081149697303772,94.0,0.9725459814071656,93.0,,3.45,102.9,195.33,244.79,273.82,6.46,4809,430978,214649,1
bend rules,bend,rule,Collocation,910.739130434783,0.8850979804992676,94.0,0.9787898063659668,96.0,,2.57,177.48,280.06,326.59,358.7,7.08,14612,430978,214649,6
break silence,break,silence,Collocation,1035.30434782609,0.8913432955741882,92.0,0.9596335887908936,76.0,,3.33,107.25,151.56,168.73,179.07,8.54,53167,430978,214649,59
build trust,build,trust,Collocation,842.260869565217,0.7902234792709351,99.0,0.9852916598320008,95.0,,2.04,146.8,212.51,243.01,258.24,7.64,79084,430978,214649,10
capture scenes,capture,scene,Collocation,1255.69565217391,0.9453328847885132,96.0,0.9755781888961792,95.0,,3.93,236.31,326.09,358.85,376.01,6.32,10061,430978,214649,6
carry risks,carry,risk,Collocation,1211.0,0.6182602643966675,94.0,0.9842413663864136,93.0,,1.63,160.87,238.64,275.56,297.22,7.45,44571,430978,214649,40
cast doubts,cast,doubt,Collocation,928.304347826087,0.6457558870315552,94.0,0.9522586464881896,88.0,,1.79,158.05,239.27,270.23,288.3,9.61,56812,430978,214649,11
catch attention,catch,attention,Collocation,1087.04347826087,0.6603127121925354,89.0,0.9423283338546752,96.0,,2.3,133.07,191.66,213.39,223.75,9.32,133801,430978,214649,29
chase dreams,chase,dream,Collocation,919.0,0.9176573753356934,94.0,0.9746875762939452,93.0,,2.6,147.1,213.55,239.31,254.22,8.24,15269,430978,214649,4
close deals,close,deal,Collocation,978.04347826087,0.9708319306373596,92.0,0.9668649435043336,98.0,,3.1,162.55,254.97,291.8,311.14,7.61,36852,430978,214649,17
cover expenses,cover,expense,Collocation,1055.52173913043,0.8419549465179443,96.0,0.9903383851051332,87.0,,2.57,166.21,247.22,277.52,295.84,7.94,58741,430978,214649,26
crack smiles,crack,smile,Collocation,1090.73913043478,0.8675277233123779,89.0,0.9872381687164308,85.0,,4.5,103.53,159.95,184.24,198.92,8.23,7983,430978,214649,13
crash weddings,crash,wedding,Collocation,1125.26086956522,0.9599488973617554,77.0,0.993722140789032,88.0,,3.92,114.39,181.84,210.21,227.33,6.16,1110,430978,214649,13
cut taxes,cut,tax,Collocation,938.086956521739,0.8980341553688049,99.0,0.9907482266426086,91.0,,3.89,84.254,125.94,147.02,164.68,8.0,40766,430978,214649,41
defuse situations,defuse,situation,Collocation,1235.21739130435,0.9910886287689208,28.0,0.9558700323104858,98.0,,2.03,186.49,274.89,314.53,332.46,6.6,7349,430978,214649,1
defy gravity,defy,gravity,Collocation,1002.69565217391,0.8705506920814514,90.0,0.9905835390090942,78.0,,2.86,73.094,104.58,115.01,120.81,9.72,10447,430978,214649,3
dent confidence,dent,confidence,Collocation,1341.5652173913,0.8729169368743896,23.0,0.9872673749923706,95.0,,2.17,114.6,160.91,178.32,187.72,5.39,1228,430978,214649,1
dissolve marriages,dissolve,marriage,Collocation,1077.17391304348,0.9378655552864076,83.0,0.9738579988479614,95.0,,2.51,196.35,296.41,331.1,348.3,7.61,6378,430978,214649,11
drive change,drive,change,Collocation,1216.91304347826,0.9425607919692992,97.0,0.965651035308838,97.0,,2.89,169.83,260.43,300.98,324.77,7.37,58610,430978,214649,22
drop hints,drop,hint,Collocation,964.95652173913,0.8511212468147278,95.0,0.9808081984519958,89.0,,2.33,145.16,208.15,236.51,250.97,7.79,15554,430978,214649,23
enter competitions,enter,competition,Collocation,922.086956521739,0.920430064201355,92.0,0.9674930572509766,90.0,,3.86,146.29,235.72,281.35,307.68,7.4,35716,430978,214649,9
erase history,erase,history,Collocation,962.608695652174,0.965450882911682,83.0,0.943520188331604,98.0,,2.96,244.12,342.42,382.02,402.74,5.81,5499,430978,214649,3
face facts,face,fact,Collocation,1165.86956521739,0.8532190918922424,99.0,0.9861266016960144,98.0,,2.72,254.34,365.67,419.85,450.64,6.6,24588,430978,214649,9
fight racism,fight,racism,Collocation,995.04347826087,0.9504157900810242,88.0,0.9962458610534668,86.0,,2.36,94.579,134.49,155.54,172.51,6.43,6201,430978,214649,4
float ideas,float,idea,Collocation,1238.26086956522,0.7630782127380371,52.0,0.911410629749298,99.0,,1.61,186.11,292.47,339.77,365.76,5.89,14114,430978,214649,9
flood inboxes,flood,inbox,Collocation,1383.4347826087,0.8830532431602478,89.0,0.9863239526748656,25.0,,4.1,33.769,47.055,52.52,55.362,6.93,1404,430978,214649,4
forge signatures,forge,signature,Collocation,1145.78260869565,0.8800456523895264,89.0,0.9820005893707277,94.0,,4.43,112.21,162.69,182.27,192.44,8.02,6865,430978,214649,7
frame questions,frame,question,Collocation,1262.78260869565,0.9527978897094728,88.0,0.991706132888794,94.0,,3.36,211.73,299.72,335.13,354.36,5.23,10258,430978,214649,6
freeze assets,freeze,asset,Collocation,1016.60869565217,0.9455248713493348,90.0,0.9663584232330322,91.0,,2.92,117.12,175.48,205.56,224.4,7.72,9599,430978,214649,10
fuel passion,fuel,passion,Collocation,1257.04347826087,0.8574286699295044,99.0,0.9721003770828248,95.0,,2.3,119.78,201.4,232.88,253.47,6.98,4510,430978,214649,4
gather momentum,gather,momentum,Collocation,1048.21739130435,0.7888854146003723,94.0,0.9674574732780457,89.0,,2.5,79.992,112.44,123.59,129.88,8.1,16857,430978,214649,9
harbor resentment,harbor,resentment,Collocation,1140.34782608696,0.818461537361145,93.0,0.9954873323440552,51.0,,1.78,65.466,105.55,126.74,139.17,8.83,2450,430978,214649,4
hold breath,hold,breath,Collocation,847.913043478261,0.8364476561546326,94.0,0.960927963256836,85.0,,4.36,72.307,105.92,123.28,131.92,8.2,113164,430978,214649,36
hurl abuse,hurl,abuse,Collocation,1084.04347826087,0.8951936364173889,73.0,0.9619195461273192,92.0,,2.71,95.851,150.62,181.18,201.53,7.7,3968,430978,214649,3
hurt chances,hurt,chance,Collocation,1321.26086956522,0.8940443396568298,89.0,0.9602013230323792,97.0,,1.64,145.16,211.81,236.5,250.46,5.81,8456,430978,214649,7
ignite debates,ignite,debate,Collocation,1433.69565217391,0.8241630792617798,90.0,0.9777584075927734,94.0,,3.18,184.93,291.91,338.79,365.58,6.63,2905,430978,214649,3
inflate ego,inflate,ego,Collocation,1135.65217391304,0.8172375559806824,78.0,0.992938995361328,72.0,,1.74,71.854,105.1,119.65,127.07,8.01,2090,430978,214649,5
invade privacy,invade,privacy,Collocation,1082.04347826087,0.7668070197105408,55.0,0.9843184947967528,93.0,,1.5,60.69,97.554,110.21,116.38,8.67,9975,430978,214649,4
juggle responsibilities,juggle,responsibility,Collocation,1332.4347826087,0.9553055763244628,88.0,0.8567805886268616,94.0,,1.4,139.46,206.54,231.4,249.11,5.39,2651,430978,214649,5
kick habits,kick,habit,Collocation,988.304347826087,0.8692017793655396,88.0,0.9067646861076356,85.0,,2.76,124.43,184.5,207.67,221.79,8.1,10490,430978,214649,8
kill time,kill,time,Collocation,867.826086956522,0.9224557280540466,86.0,0.915713906288147,95.0,,3.07,273.83,408.51,469.17,512.74,5.1,30145,430978,214649,15
land contracts,land,contract,Collocation,1442.04347826087,0.8741521835327148,92.0,0.989329993724823,93.0,,4.15,157.64,239.45,272.05,289.2,6.35,5574,430978,214649,7
launch campaigns,launch,campaign,Collocation,1065.91304347826,0.9724978804588318,95.0,0.9865849614143372,93.0,,3.0,234.82,326.5,365.57,390.31,9.85,143215,430978,214649,6
launder money,launder,money,Collocation,926.913043478261,0.9797428846359252,23.0,0.9538106322288512,97.0,,4.54,103.44,164.62,189.47,205.68,6.0,13271,430978,214649,2
leak images,leak,image,Collocation,1028.13043478261,0.9102241396903992,83.0,0.9422399401664734,95.0,,3.85,179.93,316.21,370.25,403.89,5.66,7240,430978,214649,4
level charges,level,charge,Collocation,1594.34782608696,0.8983315229415894,78.0,0.9500912427902222,93.0,,2.96,190.91,262.88,290.47,306.26,7.29,9233,430978,214649,6
lift bans,lift,ban,Collocation,1215.30434782609,0.786924421787262,96.0,0.9967013597488404,92.0,,2.37,108.72,169.3,203.52,222.15,9.42,32844,430978,214649,24
lock eyes,lock,eye,Collocation,1025.47826086957,0.8964148759841919,90.0,0.9795929789543152,96.0,,4.9,206.15,312.42,361.23,392.48,7.51,26037,430978,214649,9
navigate challenges,navigate,challenge,Collocation,1104.13043478261,0.9400266408920288,98.0,0.9393575191497804,93.0,,2.11,158.7,224.89,250.88,263.63,6.71,12323,430978,214649,3
nurse grudges,nurse,grudge,Collocation,1607.77272727273,0.9643720984458924,34.0,0.9956424236297609,11.0,,2.14,37.542,64.04,72.485,76.267,7.29,1318,430978,214649,5
pad resumes,pad,resume,Collocation,1379.08695652174,0.8217320442199707,53.0,0.972006857395172,88.0,,4.0,27.161,37.773,42.021,44.429,6.69,1157,430978,214649,4
pay visits,pay,visit,Collocation,923.391304347826,0.8760960698127747,95.0,0.9729673862457277,95.0,,3.92,204.08,327.1,373.4,400.14,8.45,96351,430978,214649,11
pick fights,pick,fight,Collocation,859.173913043478,0.9113692045211792,94.0,0.9832401275634766,93.0,,4.2,166.91,274.84,323.71,354.02,8.41,25712,430978,214649,12
pierce darkness,pierce,darkness,Collocation,1654.78260869565,0.9681373834609984,73.0,0.9933927655220032,78.0,,3.85,114.39,168.09,194.04,209.34,7.64,1797,430978,214649,5
pin hopes,pin,hope,Collocation,1029.17391304348,0.8237404823303223,83.0,0.9017336368560792,93.0,,1.25,166.95,241.91,272.45,287.77,8.27,12893,430978,214649,4
plant kisses,plant,kiss,Collocation,1118.0,0.8112097978591919,89.0,0.989065647125244,62.0,,4.48,79.436,123.41,140.16,149.2,7.78,6897,430978,214649,6
polish skills,polish,skill,Collocation,1128.47826086957,0.917322039604187,90.0,0.9867067337036132,86.0,,2.17,158.2,237.46,270.14,289.39,5.28,4607,430978,214649,3
push agendas,push,agenda,Collocation,1043.13043478261,0.920423686504364,96.0,0.9744123220443726,93.0,,2.66,133.95,192.96,217.15,230.81,8.38,28530,430978,214649,10
read minds,read,mind,Collocation,870.652173913043,0.9367933869361876,94.0,0.973176658153534,98.0,,2.5,197.15,276.78,313.43,334.55,6.73,34479,430978,214649,11
reap profits,reap,profit,Collocation,1160.69565217391,0.9390725493431092,59.0,0.9886471033096312,95.0,,3.07,59.81,135.58,177.33,201.82,8.08,9891,430978,214649,2
scrap plans,scrap,plan,Collocation,1115.95652173913,0.8989998698234558,76.0,0.961901307106018,97.0,,3.4,144.41,259.22,311.43,339.79,5.73,8708,430978,214649,3
scrape living,scrape,living,Collocation,1601.26086956522,0.9235904812812804,50.0,0.9590911865234376,68.0,,3.04,118.05,167.4,183.13,190.2,5.89,1286,430978,214649,6
share joy,share,joy,Collocation,932.304347826087,0.9310263395309448,98.0,0.988438367843628,88.0,,2.37,107.12,161.36,189.58,205.58,6.19,17250,430978,214649,5
shatter myths,shatter,myth,Collocation,1145.17391304348,0.8767656087875366,83.0,0.9768772721290588,90.0,,2.17,129.8,193.08,219.75,234.87,7.42,2665,430978,214649,3
shift blame,shift,blame,Collocation,949.04347826087,0.9199212193489076,98.0,0.9942866563796996,56.0,,2.06,57.303,82.246,91.476,96.689,8.39,11839,430978,214649,13
slash spending,slash,spending,Collocation,1297.30434782609,0.962663233280182,91.0,0.9855850338935852,91.0,,3.31,78.229,122.43,144.17,157.7,8.1,4420,430978,214649,5
smear reputations,smear,reputation,Collocation,1323.13043478261,0.9135725498199464,50.0,0.972665548324585,96.0,,1.64,181.29,254.1,285.24,303.63,5.37,1085,430978,214649,4
smell fear,smell,fear,Collocation,1373.34782608696,0.9663390517234802,84.0,0.9640929698944092,97.0,,2.57,208.48,300.15,342.67,365.02,5.75,2087,430978,214649,5
soften tones,soften,tone,Collocation,1216.69565217391,0.9279643893241882,95.0,0.9166215658187866,94.0,,3.07,168.02,248.56,285.18,303.36,6.33,1969,430978,214649,7
sow confusion,sow,confusion,Collocation,1486.91304347826,0.911645770072937,66.0,0.9851139783859252,87.0,,2.24,118.8,177.89,200.35,212.85,7.65,3504,430978,214649,3
spark panic,spark,panic,Collocation,1530.86956521739,0.926198184490204,96.0,0.9808365106582642,53.0,,3.04,68.935,102.98,116.38,124.13,6.08,1203,430978,214649,2
spew hate,spew,hate,Collocation,1017.39130434783,0.9187072515487672,80.0,0.9966223239898682,58.0,,1.97,60.282,84.845,95.871,102.6,8.77,2021,430978,214649,3
spill secrets,spill,secret,Collocation,1118.08695652174,0.8609067797660828,81.0,0.9752954244613647,90.0,,2.19,106.43,149.86,166.24,174.76,6.64,2935,430978,214649,6
spin tales,spin,tale,Collocation,1077.0,0.9048839807510376,83.0,0.9949862360954284,91.0,,3.23,178.08,277.38,316.31,343.61,8.31,8646,430978,214649,8
spread terror,spread,terror,Collocation,1097.34782608696,0.93120938539505,92.0,0.9901028871536256,78.0,,2.43,89.753,127.38,141.12,150.15,6.0,3270,430978,214649,10
steer conversations,steer,conversation,Collocation,1200.04347826087,0.8491051197052002,72.0,0.984067678451538,98.0,,3.28,166.81,255.38,299.17,324.56,6.46,4677,430978,214649,3
stifle dissent,stifle,dissent,Collocation,1468.17391304348,0.8115510940551758,97.0,0.993794083595276,45.0,,2.17,65.304,91.841,101.36,107.56,9.06,2974,430978,214649,4
