verb,noun,item,n_kwics,coll_freq,logDice,usage,noun_concreteness,noun_synset_len,verb_synset_len,snd3,snd10,snd25,snd50,queried_by_verb,queried_by_noun,n_nouns_for_verb,n_verbs_for_noun
abandon,animal,abandon animal,100,2542,5.05,abandoned animals,4.61,1,5,176.69,244.8,282.95,316.08,1,0,99,7
abandon,approach,abandon approach,100,3257,4.6,abandoned this approach,2.74,9,5,228.24,334.77,377.46,398.77,1,0,99,6
abandon,area,abandon area,100,4080,4.06,abandoned areas,3.72,6,5,263.68,404.24,463.02,501.91,1,0,99,24
abandon,attempt,abandon attempt,100,6249,6.46,abandon the attempt,2.22,2,5,201.8,327.95,379.58,407.42,1,0,99,3
abandon,baby,abandon baby,100,3453,5.58,abandoned baby,5.0,7,5,142.59,217.27,250.61,271.03,1,0,99,8
abandon,base,abandon base,100,2218,4.86,abandoned base,3.86,20,5,222.59,315.28,348.13,366.59,1,0,99,6
abandon,belief,abandon belief,100,2734,5.55,abandon their beliefs,1.19,2,5,175.05,262.14,299.23,321.46,1,0,99,8
abandon,building,abandon building,100,15935,7.17,abandoned buildings,4.64,4,5,193.2,298.76,338.74,361.38,1,0,99,10
abandon,business,abandon business,100,1761,3.13,abandoned the business,3.28,9,5,153.74,238.14,275.17,295.29,1,0,99,18
abandon,camp,abandon camp,100,2036,5.35,abandoned camp,4.35,8,5,168.41,253.77,289.28,308.16,1,0,99,3
abandon,car,abandon car,100,7381,5.56,abandoned car,4.89,5,5,146.58,271.86,328.14,362.93,1,0,99,26
abandon,career,abandon career,100,3272,5.1,abandoned his career,2.54,2,5,185.6,286.27,327.76,349.0,1,0,99,10
abandon,cart,abandon cart,100,4496,6.92,abandoned carts,4.89,2,5,63.562,101.27,117.89,131.55,1,0,99,2
abandon,child,abandon child,100,12728,5.62,abandoned children,4.78,4,5,201.04,295.22,346.37,384.22,1,0,99,21
abandon,church,abandon church,100,3078,5.33,abandoned church,4.9,4,5,201.2,314.22,372.83,407.26,1,0,99,5
abandon,city,abandon city,100,6065,5.8,abandoned city,4.79,3,5,196.98,329.78,410.83,452.11,1,0,99,11
abandon,claim,abandon claim,100,4036,5.29,abandoned his claim,2.96,6,5,178.94,264.63,304.05,329.59,1,0,99,5
abandon,commitment,abandon commitment,100,2205,5.06,abandoned its commitment,1.74,5,5,155.9,224.41,251.61,268.44,1,0,99,3
abandon,concept,abandon concept,100,2838,4.88,abandon the concept,1.41,1,5,170.06,269.24,328.11,364.43,1,0,99,5
abandon,country,abandon country,100,2074,3.83,abandon the country,4.17,5,5,173.56,276.1,341.96,389.05,1,0,99,12
abandon,dog,abandon dog,100,2144,4.69,abandoned dogs,4.85,7,5,104.88,197.0,248.38,285.38,1,0,99,10
abandon,dream,abandon dream,100,2327,5.05,abandon their dreams,2.6,6,5,147.1,213.55,239.31,254.22,1,0,99,8
abandon,duty,abandon duty,100,2043,4.85,abandoned their duties,2.19,3,5,140.95,207.04,235.19,248.69,1,0,99,6
abandon,effort,abandon effort,100,7338,5.67,abandoned the effort,2.33,4,5,200.2,307.62,348.88,374.91,1,0,99,16
abandon,factory,abandon factory,100,3277,6.23,an abandoned factory,4.76,1,5,159.34,242.73,282.93,304.22,1,0,99,3
abandon,faith,abandon faith,100,3991,6.03,abandon their faith,1.63,4,5,140.78,206.99,234.99,249.85,1,0,99,5
abandon,family,abandon family,100,6552,5.46,abandoned the family,4.23,8,5,241.61,347.92,387.48,407.58,1,0,99,11
abandon,farm,abandon farm,100,2597,5.68,abandoned farm,4.59,1,5,165.77,267.03,315.01,342.08,1,0,99,1
abandon,field,abandon field,100,3728,5.21,abandoned fields,4.26,17,5,244.0,344.01,383.08,400.82,1,0,99,12
abandon,fort,abandon fort,100,2387,6.06,fort was abandoned,4.72,2,5,103.91,159.53,183.33,196.41,1,0,99,2
abandon,friend,abandon friend,100,2133,3.83,Abandoning Friends,3.07,5,5,232.09,344.16,410.42,459.92,1,0,99,7
abandon,game,abandon game,100,3407,3.54,abandon the game,4.5,11,5,197.97,310.04,362.54,399.13,1,0,99,35
abandon,goal,abandon goal,100,2002,3.78,abandoned the goal,3.06,4,5,186.1,266.96,303.41,324.86,1,0,99,6
abandon,home,abandon home,100,9011,5.11,abandon their homes,4.11,9,5,239.73,352.55,396.94,419.06,1,0,99,14
abandon,hope,abandon hope,100,7031,6.7,abandon hope,1.25,6,5,166.95,241.91,272.45,287.77,1,0,99,11
abandon,house,abandon house,100,11783,6.5,an abandoned house,5.0,12,5,207.43,310.94,359.63,394.2,1,0,99,10
abandon,idea,abandon idea,100,14442,5.78,abandoned the idea,1.61,5,5,186.11,292.47,339.77,365.76,1,0,99,31
abandon,land,abandon land,100,4723,5.58,abandoned land,4.57,11,5,211.49,302.04,339.59,359.75,1,0,99,10
abandon,life,abandon life,100,3750,3.69,abandoned his life,2.69,14,5,228.25,333.37,374.48,396.14,1,0,99,27
abandon,line,abandon line,100,5860,4.96,line was abandoned,4.5,30,5,253.42,357.41,397.32,421.22,1,0,99,42
abandon,lot,abandon lot,100,2056,2.28,abandoned lot,3.7,7,5,144.92,243.93,294.05,322.54,1,0,99,34
abandon,match,abandon match,100,2546,5.12,match was abandoned,4.14,9,5,179.16,263.76,319.74,359.0,1,0,99,6
abandon,method,abandon method,100,1744,3.47,method was abandoned,2.41,2,5,169.55,290.9,345.13,377.68,1,0,99,1
abandon,mine,abandon mine,100,7807,7.27,abandoned mines,3.56,2,5,129.16,191.91,219.85,235.59,1,0,99,5
abandon,mission,abandon mission,100,2862,5.45,abandon the mission,2.9,5,5,169.93,249.42,281.6,298.22,1,0,99,3
abandon,model,abandon model,100,1949,3.56,model was abandoned,4.53,9,5,257.89,360.86,399.17,421.43,1,0,99,10
abandon,nest,abandon nest,100,2220,5.89,abandon the nest,4.86,5,5,111.57,163.11,180.35,189.38,1,0,99,3
abandon,notion,abandon notion,100,2507,5.67,abandon the notion,1.93,4,5,164.54,242.78,288.04,315.87,1,0,99,5
abandon,party,abandon party,100,1932,4.1,abandoned the party,3.89,5,5,161.4,244.31,287.75,312.33,1,0,99,10
abandon,people,abandon people,100,4107,2.79,abandon the people,4.82,4,5,190.25,264.24,315.17,343.14,1,0,99,39
abandon,place,abandon place,100,3576,3.31,abandoned places,3.48,16,5,235.9,337.1,371.44,386.77,1,0,99,13
abandon,plan,abandon plan,100,19302,6.66,abandoned plans,3.4,3,5,144.41,259.22,311.43,339.79,1,0,99,17
abandon,policy,abandon policy,100,5121,5.28,abandon the policy,2.76,3,5,171.66,250.29,295.41,320.55,1,0,99,12
abandon,position,abandon position,100,5714,5.23,abandoned their positions,2.62,16,5,229.38,325.34,362.4,380.34,1,0,99,11
abandon,post,abandon post,100,4980,5.5,abandoned their posts,4.3,11,5,152.62,212.88,237.75,249.94,1,0,99,7
abandon,practice,abandon practice,100,5209,5.45,abandoned the practice,2.52,5,5,192.38,277.96,309.49,329.29,1,0,99,4
