item,verb,noun,condition,iRT_AJT,verb_delta_cos,verb_pool_size,verb_apd,verb_n_clusters,verb_samd,noun_delta_cos,noun_pool_size,noun_apd,noun_n_clusters,noun_x_source
abandon projects,abandon,project,Collocation,1182.30434782609,0.9633874893188477,99.0,0.2906993329524994,4.0,0.31926217675209045,0.9701105356216431,90.0,0.1765405237674713,2.0,
battle diseases,battle,disease,Collocation,1086.21739130435,0.9081149697303772,94.0,0.3378136456012726,2.0,0.3867669999599457,0.9725459814071655,93.0,0.3125654458999634,2.0,
beat odds,beat,odds,Collocation,967.434782608696,,,,,,,,,,
bend rules,bend,rule,Collocation,910.739130434783,0.8850979804992676,94.0,0.27340736985206604,2.0,0.33690354228019714,0.9787898063659668,96.0,0.19101186096668243,2.0,
break silence,break,silence,Collocation,1035.30434782609,0.8913432955741882,92.0,0.3289475440979004,3.0,0.41179484128952026,0.9596335887908936,76.0,0.18436171114444733,2.0,
build trust,build,trust,Collocation,842.260869565217,0.7902234792709351,99.0,0.3708674907684326,2.0,0.4316227436065674,0.9852916598320007,95.0,0.17016297578811646,2.0,
capture scenes,capture,scene,Collocation,1255.69565217391,0.9453328847885132,96.0,0.30973076820373535,2.0,0.45786067843437195,0.9755781888961792,95.0,0.27739599347114563,2.0,
carry risks,carry,risk,Collocation,1211.0,0.6182602643966675,94.0,0.4386523365974426,2.0,0.5566971898078918,0.9842413663864136,93.0,0.20327162742614746,2.0,
cast doubts,cast,doubt,Collocation,928.304347826087,0.6457558870315552,94.0,0.39690569043159485,2.0,0.5443013906478882,0.9522586464881897,88.0,0.20733524858951569,2.0,
catch attention,catch,attention,Collocation,1087.04347826087,0.6603127121925354,89.0,0.40939801931381226,2.0,0.6127970814704895,0.9423283338546753,96.0,0.29921743273735046,2.0,
chase dreams,chase,dream,Collocation,919.0,0.9176573753356934,94.0,0.2967574894428253,3.0,0.2984374463558197,0.9746875762939453,93.0,0.2089504897594452,2.0,
close deals,close,deal,Collocation,978.04347826087,0.9708319306373596,92.0,0.20675119757652283,3.0,0.3275776207447052,0.9668649435043335,98.0,0.2541745901107788,3.0,
cover expenses,cover,expense,Collocation,1055.52173913043,0.8419549465179443,96.0,0.2967318594455719,2.0,0.48076069355010986,0.9903383851051331,87.0,0.2003387212753296,2.0,
crack smiles,crack,smile,Collocation,1090.73913043478,0.8675277233123779,89.0,0.2732882797718048,2.0,0.3693903386592865,0.9872381687164307,85.0,0.13631752133369446,2.0,
crash weddings,crash,wedding,Collocation,1125.26086956522,0.9599488973617554,77.0,0.2068994641304016,3.0,0.17087499797344208,0.993722140789032,88.0,0.12814880907535553,3.0,
cut taxes,cut,tax,Collocation,938.086956521739,0.8980341553688049,99.0,0.17021873593330383,2.0,0.33235615491867065,0.9907482266426086,91.0,0.15931057929992676,2.0,
defuse situations,defuse,situation,Collocation,1235.21739130435,0.9910886287689209,28.0,0.3064010739326477,2.0,0.24813486635684967,0.9558700323104858,98.0,0.3342243731021881,2.0,
defy gravity,defy,gravity,Collocation,1002.69565217391,0.8705506920814514,90.0,0.3560325801372528,2.0,0.35653746128082275,0.9905835390090942,78.0,0.14889147877693176,2.0,
dent confidence,dent,confidence,Collocation,1341.5652173913,0.8729169368743896,23.0,0.4062059223651886,2.0,,0.9872673749923706,95.0,0.21031977236270905,2.0,
dissolve marriages,dissolve,marriage,Collocation,1077.17391304348,0.9378655552864075,83.0,0.20147062838077545,2.0,0.37425410747528076,0.9738579988479614,95.0,0.18956884741783142,2.0,
drive change,drive,change,Collocation,1216.91304347826,0.9425607919692993,97.0,0.36792513728141785,2.0,0.44306743144989014,0.9656510353088379,97.0,0.22298488020896912,2.0,
drop hints,drop,hint,Collocation,964.95652173913,0.8511212468147278,95.0,0.3467978537082672,2.0,0.3877711594104767,0.9808081984519958,89.0,0.2490210384130478,2.0,
enter competitions,enter,competition,Collocation,922.086956521739,0.920430064201355,92.0,0.306121289730072,2.0,0.35306987166404724,0.9674930572509766,90.0,0.1963217854499817,3.0,
erase history,erase,history,Collocation,962.608695652174,0.9654508829116821,83.0,0.22726856172084808,2.0,0.24787528812885284,0.943520188331604,98.0,0.23892146348953247,3.0,
face facts,face,fact,Collocation,1165.86956521739,0.8532190918922424,99.0,0.34295880794525146,2.0,0.5357373356819153,0.9861266016960144,98.0,0.4378715753555298,2.0,
fight racism,fight,racism,Collocation,995.04347826087,0.9504157900810242,88.0,0.181692972779274,2.0,0.2552527189254761,0.9962458610534668,86.0,0.1163642406463623,2.0,
float ideas,float,idea,Collocation,1238.26086956522,0.7630782127380371,52.0,0.4094180464744568,2.0,0.5473946928977966,0.9114106297492981,99.0,0.28557848930358887,2.0,
flood inboxes,flood,inbox,Collocation,1383.4347826087,0.8830532431602478,89.0,0.32315200567245483,2.0,0.3526810109615326,0.9863239526748657,25.0,0.214997798204422,2.0,
forge signatures,forge,signature,Collocation,1145.78260869565,0.8800456523895264,89.0,0.4707351326942444,2.0,0.40276092290878296,0.9820005893707275,94.0,0.1669587641954422,3.0,
frame questions,frame,question,Collocation,1262.78260869565,0.9527978897094727,88.0,0.35091063380241394,2.0,0.34679749608039856,0.991706132888794,94.0,0.2597796320915222,2.0,
freeze assets,freeze,asset,Collocation,1016.60869565217,0.9455248713493347,90.0,0.18913379311561584,2.0,0.26427191495895386,0.9663584232330322,91.0,0.1459197998046875,2.0,
fuel passion,fuel,passion,Collocation,1257.04347826087,0.8574286699295044,99.0,0.3487697243690491,2.0,0.5360842347145081,0.9721003770828247,95.0,0.28954172134399414,2.0,
gather momentum,gather,momentum,Collocation,1048.21739130435,0.7888854146003723,94.0,0.3913501501083374,2.0,0.5293878316879272,0.9674574732780457,89.0,0.22940683364868164,2.0,
harbor resentment,harbor,resentment,Collocation,1140.34782608696,0.818461537361145,93.0,0.46803537011146545,2.0,0.5846889019012451,0.9954873323440552,51.0,0.21778512001037598,2.0,
hold breath,hold,breath,Collocation,847.913043478261,0.8364476561546326,94.0,0.35673052072525024,2.0,0.3619943857192993,0.9609279632568359,85.0,0.27298834919929504,2.0,
hurl abuse,hurl,abuse,Collocation,1084.04347826087,0.8951936364173889,73.0,0.4243263304233551,2.0,0.31314796209335327,0.9619195461273193,92.0,0.18054041266441345,3.0,
hurt chances,hurt,chance,Collocation,1321.26086956522,0.8940443396568298,89.0,0.2798704504966736,2.0,0.36906424164772034,0.9602013230323792,97.0,0.2772487699985504,2.0,
ignite debates,ignite,debate,Collocation,1433.69565217391,0.8241630792617798,90.0,0.3716621398925781,2.0,0.4632437229156494,0.9777584075927734,94.0,0.18779583275318146,2.0,
inflate ego,inflate,ego,Collocation,1135.65217391304,0.8172375559806824,78.0,0.4527361989021301,2.0,0.5598909854888916,0.9929389953613281,72.0,0.22016163170337677,2.0,
invade privacy,invade,privacy,Collocation,1082.04347826087,0.7668070197105408,55.0,0.32080844044685364,2.0,0.4467865824699402,0.9843184947967529,93.0,0.18009033799171448,2.0,
juggle responsibilities,juggle,responsibility,Collocation,1332.4347826087,0.9553055763244629,88.0,0.26102450489997864,2.0,0.3333453834056854,0.8567805886268616,94.0,0.21043799817562103,2.0,
kick habits,kick,habit,Collocation,988.304347826087,0.8692017793655396,88.0,0.28354352712631226,2.0,0.33047208189964294,0.9067646861076355,85.0,0.25135964155197144,2.0,
kill time,kill,time,Collocation,867.826086956522,0.9224557280540466,86.0,0.2628937363624573,3.0,0.3181948959827423,0.915713906288147,95.0,0.357448011636734,2.0,
land contracts,land,contract,Collocation,1442.04347826087,0.8741521835327148,92.0,0.34684398770332336,2.0,0.3744095265865326,0.989329993724823,93.0,0.16770599782466888,2.0,
launch campaigns,launch,campaign,Collocation,1065.91304347826,0.9724978804588318,95.0,0.24983437359333038,2.0,0.30140215158462524,0.9865849614143372,93.0,0.2033926546573639,2.0,
launder money,launder,money,Collocation,926.913043478261,0.9797428846359253,23.0,0.2769646644592285,2.0,,0.9538106322288513,97.0,0.1732979565858841,2.0,
